"Commit","CommitHash","Date","Author","Subject","Area","File","Added","Deleted"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/BossFight/TaskMgrOverride.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/DataSmuggling.meta","8","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/DataSmuggling/ExeFragmentDrop.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/DataSmuggling/ParadoxRecipeDetector.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/DataSmuggling/ParadoxRecipes.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/DataSmuggling/RogueSubroutinePixel.cs","4","3"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/DataSmuggling/RogueSubroutinePixel.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/RetirementFund.meta","8","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/RetirementFund/RetirementCatalog.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Meta","Assets/_Project/Scripts/Meta/RetirementFund/RetirementFundService.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Narrative","Assets/_Project/Scripts/Narrative/RumorMillEventBus.cs","7","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/Persistence","Assets/_Project/Scripts/Persistence/SaveSystem.cs","21","9"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/RedTape","Assets/_Project/Scripts/RedTape/PunchCardMachine.cs","6","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/RedTape","Assets/_Project/Scripts/RedTape/StateInjector.cs","1","1"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/BossFightController.cs","1","1"
